DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Mar-2026,EQ,"880.60","899.30","868.75","884.35","882.00","885.30","882.60","1,039.20","478.35",1859410,"1,64,11,21,370.50",72599
13-Mar-2026,EQ,"900.00","905.85","881.90","902.20","884.80","884.35","889.91","1,039.20","478.35",2558067,"2,27,64,42,019.25",75415
12-Mar-2026,EQ,"911.10","912.75","899.10","918.40","901.95","902.20","905.37","1,039.20","478.35",1828277,"1,65,52,73,121.25",58498
11-Mar-2026,EQ,"937.30","947.50","914.40","938.50","915.00","918.40","930.61","1,039.20","478.35",1679818,"1,56,32,62,525.75",57796
10-Mar-2026,EQ,"941.20","951.30","929.10","931.65","938.95","938.50","939.18","1,039.20","478.35",1965529,"1,84,59,86,398.55",83966
09-Mar-2026,EQ,"943.40","948.30","913.60","964.25","930.55","931.65","927.27","1,039.20","478.35",2564303,"2,37,77,94,074.80",72573
06-Mar-2026,EQ,"972.10","980.15","962.10","973.45","964.00","964.25","970.46","1,039.20","478.35",1174945,"1,14,02,40,250.00",43782
05-Mar-2026,EQ,"952.50","976.05","949.75","946.10","973.00","973.45","966.98","1,039.20","478.35",1878949,"1,81,69,04,473.70",75253
04-Mar-2026,EQ,"943.70","956.80","935.30","951.25","948.80","946.10","944.68","1,039.20","478.35",2342802,"2,21,31,87,087.05",85066
02-Mar-2026,EQ,"895.05","963.50","895.05","958.35","952.95","951.25","953.13","1,039.20","478.35",2534464,"2,41,56,66,479.95",61882
27-Feb-2026,EQ,"976.00","976.00","951.00","972.70","953.00","958.35","958.82","1,039.20","478.35",22827452,"21,88,75,21,828.35",134810
26-Feb-2026,EQ,"982.10","983.95","967.45","982.10","970.10","972.70","973.44","1,039.20","478.35",3615184,"3,51,91,54,758.30",67406
25-Feb-2026,EQ,"1,003.80","1,007.85","977.60","1,002.20","979.00","982.10","988.63","1,039.20","478.35",2811304,"2,77,93,29,186.10",59531
24-Feb-2026,EQ,"970.00","1,009.85","968.70","974.10","1,005.00","1,002.20","987.48","1,039.20","478.35",3314603,"3,27,31,16,195.55",70258
23-Feb-2026,EQ,"993.00","998.75","950.00","1,029.65","976.40","974.10","965.75","1,039.20","478.35",13484919,"13,02,30,48,343.20",180405
20-Feb-2026,EQ,"1,014.00","1,032.50","1,009.20","1,017.05","1,028.75","1,029.65","1,026.49","1,039.20","478.35",1748085,"1,79,43,94,615.75",58376
19-Feb-2026,EQ,"1,023.50","1,039.20","1,014.00","1,022.05","1,014.00","1,017.05","1,025.79","1,039.20","478.35",2139829,"2,19,50,19,851.00",71439
18-Feb-2026,EQ,"1,001.90","1,024.10","995.70","999.75","1,023.50","1,022.05","1,011.41","1,029.95","478.35",3081772,"3,11,69,37,856.55",67729
17-Feb-2026,EQ,"1,014.40","1,014.40","994.55","1,010.00","1,000.75","999.75","1,000.93","1,029.95","478.35",1966733,"1,96,85,58,874.80",39753
16-Feb-2026,EQ,"990.00","1,011.00","985.85","994.90","1,009.70","1,010.00","1,003.46","1,029.95","478.35",2090281,"2,09,75,06,947.30",39304
13-Feb-2026,EQ,"998.10","1,004.60","984.65","1,000.60","993.50","994.90","996.07","1,029.95","478.35",1802819,"1,79,57,26,279.35",55766
12-Feb-2026,EQ,"990.25","1,002.95","980.30","990.25","999.30","1,000.60","994.92","1,029.95","478.35",2189502,"2,17,83,88,718.85",48572
11-Feb-2026,EQ,"1,000.00","1,009.85","986.00","1,001.15","987.10","990.25","997.97","1,029.95","478.35",1582054,"1,57,88,42,095.90",56572
10-Feb-2026,EQ,"1,011.90","1,011.90","990.00","1,005.30","1,000.85","1,001.15","999.24","1,029.95","478.35",1918068,"1,91,66,18,189.20",55903
09-Feb-2026,EQ,"995.10","1,009.40","980.00","991.05","1,002.50","1,005.30","998.70","1,029.95","478.35",1879347,"1,87,69,00,450.10",56172
06-Feb-2026,EQ,"986.90","992.45","975.80","986.00","989.05","991.05","986.41","1,029.95","478.35",1192286,"1,17,60,82,737.55",45469
05-Feb-2026,EQ,"980.95","989.70","974.10","980.95","984.10","986.00","983.98","1,029.95","478.35",921723,"90,69,56,094.70",31123
04-Feb-2026,EQ,"988.95","989.05","973.20","982.30","981.00","980.95","982.38","1,029.95","478.35",1152883,"1,13,25,66,264.85",40748
03-Feb-2026,EQ,"985.00","1,019.00","979.80","965.20","982.50","982.30","986.79","1,029.95","478.35",2099845,"2,07,21,03,192.90",44227
02-Feb-2026,EQ,"965.00","977.35","950.45","979.60","967.80","965.20","963.36","1,029.95","478.35",1235711,"1,19,04,35,014.30",40018
01-Feb-2026,EQ,"982.35","990.60","942.75","982.35","975.00","979.60","976.84","1,029.95","478.35",1050237,"1,02,59,09,708.90",21505
30-Jan-2026,EQ,"968.25","995.65","965.00","987.90","980.00","982.35","983.71","1,029.95","478.35",2978565,"2,93,00,45,536.90",69244
29-Jan-2026,EQ,"962.35","992.80","960.00","962.35","990.00","987.90","980.79","1,029.95","478.35",4789658,"4,69,76,60,086.65",95260
28-Jan-2026,EQ,"965.00","970.95","955.15","963.55","962.00","962.35","961.64","1,029.95","478.35",1238957,"1,19,14,34,597.95",43756
27-Jan-2026,EQ,"970.60","977.85","944.10","966.10","960.95","963.55","955.53","1,029.95","478.35",1801986,"1,72,18,47,656.10",61679
23-Jan-2026,EQ,"1,005.00","1,006.90","961.30","1,000.55","967.00","966.10","979.30","1,029.95","478.35",2752861,"2,69,58,85,394.60",44386
22-Jan-2026,EQ,"1,003.25","1,016.75","982.15","994.90","998.25","1,000.55","998.04","1,029.95","478.35",1668127,"1,66,48,54,410.65",59036
21-Jan-2026,EQ,"1,009.00","1,027.45","968.30","1,001.25","994.75","994.90","998.39","1,029.95","478.35",5487389,"5,47,85,42,050.45",116542
20-Jan-2026,EQ,"1,021.00","1,021.60","992.35","1,020.95","1,001.25","1,001.25","1,004.67","1,029.95","478.35",2014610,"2,02,40,27,032.65",79210
19-Jan-2026,EQ,"1,025.00","1,026.20","1,010.75","1,025.40","1,020.65","1,020.95","1,019.72","1,029.95","478.35",1984489,"2,02,36,15,155.45",59804
16-Jan-2026,EQ,"975.50","1,029.95","968.55","976.35","1,022.35","1,025.40","1,006.52","1,029.95","478.35",7202895,"7,24,98,85,361.90",94459
14-Jan-2026,EQ,"964.00","980.80","963.50","971.95","980.80","976.35","972.61","1,026.80","478.35",2737259,"2,66,22,84,840.50",72579
13-Jan-2026,EQ,"1,010.00","1,011.00","959.65","1,007.80","971.50","971.95","973.65","1,026.80","478.35",4628293,"4,50,63,58,444.30",62911
12-Jan-2026,EQ,"996.00","1,009.80","991.70","999.20","1,009.30","1,007.80","1,000.62","1,026.80","478.35",1409487,"1,41,03,60,122.55",32441
09-Jan-2026,EQ,"993.00","1,006.05","990.10","992.10","1,001.00","999.20","1,000.41","1,026.80","478.35",1197452,"1,19,79,41,408.65",38946
08-Jan-2026,EQ,"1,002.95","1,006.70","988.85","1,004.55","990.90","992.10","994.16","1,026.80","478.35",1103298,"1,09,68,59,275.95",36802
07-Jan-2026,EQ,"1,008.00","1,017.10","999.00","1,008.75","1,005.00","1,004.55","1,003.06","1,026.80","478.35",1646106,"1,65,11,42,873.35",64906
06-Jan-2026,EQ,"1,016.00","1,018.80","1,000.90","1,014.95","1,008.50","1,008.75","1,007.88","1,026.80","478.35",694271,"69,97,44,449.90",24738
05-Jan-2026,EQ,"1,023.00","1,026.80","1,005.10","999.40","1,013.00","1,014.95","1,015.23","1,026.80","478.35",2090372,"2,12,22,15,083.50",49868
02-Jan-2026,EQ,"1,002.90","1,011.00","997.05","999.45","999.45","999.40","1,002.86","1,011.00","478.35",1014538,"1,01,74,36,058.00",35231
01-Jan-2026,EQ,"994.50","1,003.15","991.10","994.50","998.10","999.45","997.51","1,007.25","478.35",685959,"68,42,48,395.50",19838
31-Dec-2025,EQ,"996.05","1,006.10","989.65","996.45","996.40","994.50","998.22","1,007.25","478.35",1523909,"1,52,11,91,996.45",45274
30-Dec-2025,EQ,"985.00","1,000.00","980.50","986.65","993.10","996.45","996.24","1,007.25","478.35",10250412,"10,21,18,19,928.75",120797
29-Dec-2025,EQ,"972.50","988.50","967.00","974.95","987.90","986.65","979.79","1,007.25","478.35",997808,"97,76,44,070.10",24157
26-Dec-2025,EQ,"974.05","982.00","970.00","974.05","974.05","974.95","975.54","1,007.25","478.35",1470189,"1,43,42,35,055.00",22528
24-Dec-2025,EQ,"985.00","987.80","972.55","980.35","973.45","974.05","978.12","1,007.25","478.35",1552265,"1,51,83,01,729.05",28333
23-Dec-2025,EQ,"975.00","986.10","975.00","984.45","980.00","980.35","980.02","1,007.25","478.35",1402838,"1,37,48,03,582.65",28662
